"word{s-19494, h-50453}",in_s,in_h,prob_s,prob_h
go,32,277,0.0016415307274033036,0.005490258260162924
jurong,1,1,5.129783523135324e-05,1.9820426931996114e-05
point,17,17,0.000872063198933005,0.00033694725784393396
crazy,6,10,0.0003077870113881194,0.00019820426931996116
..,13,685,0.000666871858007592,0.01357699244841734
available,4,14,0.00020519134092541295,0.0002774859770479456
bugis,1,7,5.129783523135324e-05,0.0001387429885239728
n,10,142,0.0005129783523135324,0.002814500624343448
great,12,103,0.0006155740227762388,0.0020415039739956
world,3,38,0.0001538935056940597,0.0007531762234158524
la,1,7,5.129783523135324e-05,0.0001387429885239728
e,3,78,0.0001538935056940597,0.001545993300695697
buffet,1,2,5.129783523135324e-05,3.964085386399223e-05
...,8,1139,0.0004103826818508259,0.022575466275543576
cine,1,7,5.129783523135324e-05,0.0001387429885239728
got,8,245,0.0004103826818508259,0.004856004598339048
amore,1,1,5.129783523135324e-05,1.9820426931996114e-05
wat,2,106,0.00010259567046270647,0.002100965254791588
ok,6,246,0.0003077870113881194,0.004875825025271044
lar,1,38,5.129783523135324e-05,0.0007531762234158524
joking,1,5,5.129783523135324e-05,9.910213465998058e-05
wif,1,27,5.129783523135324e-05,0.0005351515271638951
u,147,1050,0.007540781779008926,0.02081144827859592
oni,1,4,5.129783523135324e-05,7.928170772798445e-05
free,219,60,0.01123422591566636,0.001189225615919767
entry,26,1,0.001333743716015184,1.9820426931996114e-05
wkly,14,1,0.0007181696932389454,1.9820426931996114e-05
comp,10,2,0.0005129783523135324,3.964085386399223e-05
win,61,17,0.0031291679491125476,0.00033694725784393396
fa,4,1,0.00020519134092541295,1.9820426931996114e-05
cup,5,5,0.0002564891761567662,9.910213465998058e-05
final,16,3,0.0008207653637016518,5.946128079598835e-05
tkts,4,1,0.00020519134092541295,1.9820426931996114e-05
21st,2,2,0.00010259567046270647,3.964085386399223e-05
may,7,45,0.0003590848466194727,0.0008919192119398252
2005.,2,1,0.00010259567046270647,1.9820426931996114e-05
text,138,78,0.007079101261926747,0.001545993300695697
receive,33,6,0.001692828562634657,0.0001189225615919767
question,12,22,0.0006155740227762388,0.00043604939250391456
(,54,66,0.002770083102493075,0.0013081481775117437
std,9,1,0.0004616805170821791,1.9820426931996114e-05
txt,156,14,0.008002462296091105,0.0002774859770479456
rate,31,4,0.0015902328921719503,7.928170772798445e-05
),66,434,0.003385657125269314,0.008602065288486314
&,175,745,0.008977121165486816,0.014766218064337106
c,92,62,0.004719400841284498,0.001228866469783759
's,70,425,0.0035908484661947267,0.00842368144609835
apply,29,3,0.0014876372217092438,5.946128079598835e-05
08452810075over18,2,1,0.00010259567046270647,1.9820426931996114e-05
dun,1,55,5.129783523135324e-05,0.0010901234812597863
say,2,118,0.00010259567046270647,0.0023388103779755417
early,1,33,5.129783523135324e-05,0.0006540740887558718
hor,1,2,5.129783523135324e-05,3.964085386399223e-05
already,2,90,0.00010259567046270647,0.0017838384238796504
nah,1,10,5.129783523135324e-05,0.00019820426931996116
n't,17,350,0.000872063198933005,0.006937149426198641
think,15,132,0.0007694675284702986,0.0026162963550234873
usf,1,11,5.129783523135324e-05,0.00021802469625195728
life,4,82,0.00020519134092541295,0.0016252750084236815
around,3,59,0.0001538935056940597,0.0011694051889877708
though,2,26,0.00010259567046270647,0.000515331100231899
freemsg,14,1,0.0007181696932389454,1.9820426931996114e-05
hey,5,108,0.0002564891761567662,0.0021406061086555804
darling,2,6,0.00010259567046270647,0.0001189225615919767
week,60,71,0.0030778701138811943,0.001407250312171724
word,25,35,0.001282445880783831,0.000693714942619864
back,23,131,0.0011798502103211245,0.0025964759280914912
!,546,853,0.028008618036318867,0.016906824172992687
'd,2,26,0.00010259567046270647,0.000515331100231899
like,13,237,0.000666871858007592,0.0046974411828830795
fun,9,24,0.0004616805170821791,0.0004756902463679068
still,7,150,0.0003590848466194727,0.0029730640397994173
?,175,1376,0.008977121165486816,0.027272907458426653
tb,1,4,5.129783523135324e-05,7.928170772798445e-05
xxx,11,24,0.0005642761875448856,0.0004756902463679068
chgs,1,1,5.129783523135324e-05,1.9820426931996114e-05
send,69,124,0.0035395506309633734,0.002457732939567518
£1.50,20,1,0.0010259567046270648,1.9820426931996114e-05
rcv,2,1,0.00010259567046270647,1.9820426931996114e-05
even,7,58,0.0003590848466194727,0.0011495847620557748
brother,2,20,0.00010259567046270647,0.00039640853863992233
speak,11,23,0.0005642761875448856,0.00045586981943591064
treat,1,17,5.129783523135324e-05,0.00033694725784393396
aid,1,2,5.129783523135324e-05,3.964085386399223e-05
patent,1,1,5.129783523135324e-05,1.9820426931996114e-05
per,47,12,0.002410998255873602,0.0002378451231839534
request,3,9,0.0001538935056940597,0.00017838384238796505
'melle,1,3,5.129783523135324e-05,5.946128079598835e-05
melle,1,3,5.129783523135324e-05,5.946128079598835e-05
oru,1,4,5.129783523135324e-05,7.928170772798445e-05
minnaminunginte,1,3,5.129783523135324e-05,5.946128079598835e-05
